"gene_symbol","ensembl_id","gene_id"
"1700122O11Rik","ENSMUSP00000137519","ENSMUSG00000094928"
"1700122O11Rik","ENSMUSP00000154953","ENSMUSG00000116059"
"1700123K08Rik","ENSMUSP00000031501","ENSMUSG00000029526"
"1700123L14Rik","ENSMUSP00000087515","ENSMUSG00000072878"
"1700123O20Rik","ENSMUSP00000047702","ENSMUSG00000040822"
"1700123O20Rik","ENSMUSP00000154271","ENSMUSG00000040822"
"1700123O20Rik","ENSMUSP00000153947","ENSMUSG00000040822"
"1700125H20Rik","ENSMUSP00000018623","ENSMUSG00000018479"
"1700125H20Rik","ENSMUSP00000098248","ENSMUSG00000018479"
"1700129C05Rik","ENSMUSP00000022548","ENSMUSG00000021977"
"1700129C05Rik","ENSMUSP00000125379","ENSMUSG00000021977"
"1700129C05Rik","ENSMUSP00000125361","ENSMUSG00000021977"
"1700129C05Rik","ENSMUSP00000125240","ENSMUSG00000021977"
"1810009A15Rik","ENSMUSP00000093970","ENSMUSG00000071653"
"1810009A15Rik","ENSMUSP00000140221","ENSMUSG00000071653"
"1810009J06Rik","ENSMUSP00000075935","ENSMUSG00000094808"
"1810010D01Rik","ENSMUSP00000149353","ENSMUSG00000109305"
"1810010H24Rik","ENSMUSP00000147434","ENSMUSG00000078607"
"1810010H24Rik","ENSMUSP00000148142","ENSMUSG00000078607"
"1810013L24Rik","ENSMUSP00000023150","ENSMUSG00000022507"
"1810013L24Rik","ENSMUSP00000155131","ENSMUSG00000022507"
"1810020O05Rik","ENSMUSP00000158660","ENSMUSG00000089997"
"1810020O05Rik","ENSMUSP00000158817","ENSMUSG00000089997"
"1810022K09Rik","ENSMUSP00000139512","ENSMUSG00000078784"
"1810022K09Rik","ENSMUSP00000104002","ENSMUSG00000078784"
"1810022K09Rik","ENSMUSP00000139464","ENSMUSG00000078784"
"1810022K09Rik","ENSMUSP00000139401","ENSMUSG00000078784"
"1810024B03Rik","ENSMUSP00000061355","ENSMUSG00000044145"
"1810030O07Rik","ENSMUSP00000059095","ENSMUSG00000044148"
"1810037I17Rik","ENSMUSP00000102037","ENSMUSG00000054091"
"1810043G02Rik","ENSMUSP00000101036","ENSMUSG00000020284"
"1810043G02Rik","ENSMUSP00000101037","ENSMUSG00000020284"
"1810046K07Rik","ENSMUSP00000137735","ENSMUSG00000036027"
"1810046K07Rik","ENSMUSP00000036912","ENSMUSG00000036027"
"1810046K07Rik","ENSMUSP00000158857","ENSMUSG00000036027"
"1810049J17Rik","ENSMUSP00000137703","ENSMUSG00000097221"
"1810055G02Rik","ENSMUSP00000158552","ENSMUSG00000035372"
"1810055G02Rik","ENSMUSP00000047063","ENSMUSG00000035372"
"1810055G02Rik","ENSMUSP00000157453","ENSMUSG00000035372"
"1810055G02Rik","ENSMUSP00000158133","ENSMUSG00000035372"
"1810055G02Rik","ENSMUSP00000158554","ENSMUSG00000035372"
"1810062G17Rik","ENSMUSP00000029268","ENSMUSG00000027713"
"1810065E05Rik","ENSMUSP00000013797","ENSMUSG00000013653"
"2010003K11Rik","ENSMUSP00000036729","ENSMUSG00000042041"
"2010106E10Rik","ENSMUSP00000026602","ENSMUSG00000025528"
"2010106E10Rik","ENSMUSP00000109039","ENSMUSG00000025528"
"2010109A12Rik","ENSMUSP00000031330","ENSMUSG00000029384"
"2010300C02Rik","ENSMUSP00000125015","ENSMUSG00000026090"
