gene_symbol,ensembl_id
2410004P03Rik,10090.ENSMUSP00000140390
2410015M20Rik,10090.ENSMUSP00000052908
2410015M20Rik,10090.
2410018L13Rik,10090.
2410080I02Rik,10090.-
2410089E03Rik,10090.-
2410131K14Rik,10090.ENSMUSP00000043410
2510002D24Rik,10090.
2510002D24Rik,10090.ENSMUSP00000141071
2510002D24Rik,10090.ENSMUSP00000060363
2510002D24Rik,10090.ENSMUSP00000140943
2510009E07Rik,10090.ENSMUSP00000062303
2510009E07Rik,10090.ENSMUSP00000156243
2510009E07Rik,10090.ENSMUSP00000156099
2510009E07Rik,10090.ENSMUSP00000156172
2510017J16Rik,10090.-
2510039O18Rik,10090.ENSMUSP00000099522
2510046G10Rik,10090.-
2600006K01Rik,10090.ENSMUSP00000119476
2600006K01Rik,10090.ENSMUSP00000041622
2600006K01Rik,10090.ENSMUSP00000115902
2600006K01Rik,10090.
2610001J05Rik,10090.ENSMUSP00000120110
2610001J05Rik,10090.ENSMUSP00000116702
2610001J05Rik,10090.ENSMUSP00000140155
2610001J05Rik,10090.ENSMUSP00000139650
2610002M06Rik,10090.
2610002M06Rik,10090.ENSMUSP00000113588
2610008E11Rik,10090.ENSMUSP00000151709
2610008E11Rik,10090.ENSMUSP00000044020
2610008E11Rik,10090.
2610008E11Rik,10090.ENSMUSP00000151822
2610016A17Rik,10090.
2610020C07Rik,10090.-
2610021A01Rik,10090.ENSMUSP00000146223
2610021A01Rik,10090.ENSMUSP00000127760
2610021A01Rik,10090.
2610035D17Rik,10090.
2610037D02Rik,10090.-
2610044O15Rik8,10090.ENSMUSP00000140555
2610044O15Rik8,10090.ENSMUSP00000140654
2610044O15Rik8,10090.ENSMUSP00000139392
2610044O15Rik8,10090.ENSMUSP00000140736
2610044O15Rik8,10090.ENSMUSP00000078254
2610044O15Rik8,10090.ENSMUSP00000140304
2610204G07Rik,10090.-
2610206C17Rik,10090.
2610301B20Rik,10090.
2610301B20Rik,10090.ENSMUSP00000103966
2610301B20Rik,10090.ENSMUSP00000079361
2610318N02Rik,10090.ENSMUSP00000091026
2610318N02Rik,10090.ENSMUSP00000156373
2610318N02Rik,10090.ENSMUSP00000156313
2610318N02Rik,10090.
2610318N02Rik,10090.ENSMUSP00000156078
2610507B11Rik,10090.
2610507B11Rik,10090.ENSMUSP00000010421
2610507B11Rik,10090.ENSMUSP00000119105
2610524H06Rik,10090.ENSMUSP00000107786
2610524H06Rik,10090.
2610524H06Rik,10090.ENSMUSP00000098411
2610524H06Rik,10090.ENSMUSP00000116625
2610528A11Rik,10090.
2610528A11Rik,10090.ENSMUSP00000136426
2700012I20Rik,10090.
2700016F22Rik,10090.-
2700033N17Rik,10090.-
2700038G22Rik,10090.
2700046A07Rik,10090.
